"","male","white","black","hispanic","mompro2","poppro2","siblings","norest96","norcen96","south96","west96","height81","height85","esteem80","athlets","wage96","hgc96","daded79","momed79","age","clubnum"
"7691",0,0,1,0,0,0,8,0,0,1,0,67,68,23,1,12.0192308425903,16,11,11,35,0
"7692",0,0,1,0,0,0,8,0,0,1,0,65,65,25,1,11.2980766296387,17,11,11,32,1
"7693",0,0,1,0,0,0,2,0,0,1,0,66,63,22,0,0.274207383394241,14,8,5,35,1
"7694",0,0,1,0,0,0,7,0,0,1,0,62,62,20,1,9.61538505554199,13,NA,11,33,1
"7695",0,0,1,0,0,0,4,0,0,1,0,68,67,21,0,4.63917541503906,15,NA,11,32,1
"7696",1,0,1,0,0,0,4,0,0,1,0,67,69,25,0,56.6666679382324,12,NA,11,32,0
"7697",1,0,1,0,0,0,3,0,0,1,0,71,71,22,1,7.79545450210571,13,8,12,34,1
"7698",1,0,1,0,0,0,3,0,0,1,0,76,76,27,1,14.4230766296387,16,8,12,32,1
"7699",1,0,1,0,0,0,5,0,0,1,0,72,73,24,0,9.52163505554199,12,NA,9,37,0
"7700",1,0,1,0,0,0,5,NA,NA,NA,NA,74,74,27,1,NA,NA,NA,9,NA,0
"7701",1,0,1,0,0,0,5,NA,NA,NA,NA,72,71,26,0,NA,NA,NA,9,34,1
"7702",1,0,1,0,0,0,5,0,0,0,1,65,67,25,0,4.807692527771,13,NA,9,32,0
"7703",1,0,1,0,0,0,8,0,0,1,0,66,65,27,1,22.5961532592773,17,12,9,35,2
"7704",0,0,1,0,0,0,3,0,0,1,0,61,61,21,0,NA,12,10,8,31,0
"7705",1,0,1,0,0,0,1,0,0,1,0,68,68,24,1,NA,12,7,7,38,2
"7706",0,0,1,0,0,0,2,0,0,1,0,66,67,24,0,10.4798679351807,12,7,7,34,0
"7707",1,0,1,0,0,0,5,0,0,1,0,72,72,26,1,12.307692527771,15,13,11,37,0
"7708",0,0,1,0,0,0,2,0,0,1,0,63,63,28,1,18.75,16,12,8,35,2
"7709",1,0,1,0,0,0,5,0,0,1,0,69,69,20,1,8.557692527771,15,10,7,35,3
"7710",0,0,1,0,0,0,5,0,0,1,0,62,62,22,0,7.91095876693726,12,10,7,34,1
"7711",1,0,1,0,0,0,5,0,0,1,0,65,66,23,0,6.19266033172607,12,10,7,31,0
"7712",1,0,1,0,0,0,6,0,0,1,0,67,67,21,1,NA,12,9,14,35,0
"7713",0,0,1,0,0,0,6,NA,NA,NA,NA,62,62,24,0,NA,NA,9,14,NA,0
"7714",1,0,1,0,0,0,6,0,0,1,0,73,73,22,1,NA,12,9,14,33,0
"7715",1,0,1,0,0,0,6,0,0,1,0,68,71,21,0,1.72820508480072,12,9,14,31,0
"7716",1,0,0,1,0,1,12,0,0,0,1,66,66,28,1,34.6153831481934,15,17,14,36,0
"7717",1,0,0,1,1,1,12,0,0,1,0,70,70,28,0,16.8269233703613,14,16,14,35,0
"7718",1,0,0,1,0,1,13,0,0,1,0,71,69,21,0,10.2564105987549,12,15,12,NA,0
"7719",1,0,0,1,1,1,13,NA,NA,NA,NA,70,70,28,0,NA,NA,16,14,34,0
"7720",1,0,0,1,1,1,12,0,0,1,0,68,71,25,1,26.5567760467529,17,16,16,32,1
"7721",1,0,0,1,0,0,7,NA,NA,NA,NA,72,72,NA,0,54.0080757141113,17,0,6,36,0
"7722",0,1,0,0,0,0,2,NA,NA,NA,NA,70,70,27,0,NA,NA,12,12,NA,1
"7723",1,0,0,1,1,1,1,0,0,1,0,69,59,28,0,NA,20,NA,16,37,3
"7724",1,1,0,0,0,0,3,NA,NA,NA,NA,67,67,28,0,NA,NA,12,NA,NA,0
"7725",1,1,0,0,1,0,0,NA,NA,NA,NA,71,NA,28,1,NA,NA,NA,14,NA,1
"7726",1,1,0,0,0,0,1,NA,NA,NA,NA,75,NA,26,NA,NA,NA,NA,14,NA,NA
"7727",1,1,0,0,0,1,2,NA,NA,NA,NA,69,69,20,1,NA,NA,14,12,NA,1
"7728",1,1,0,0,0,1,4,NA,NA,NA,NA,72,72,22,1,NA,NA,20,16,NA,1
"7729",0,1,0,0,0,1,1,NA,NA,NA,NA,64,64,27,1,NA,NA,15,12,NA,1
"7730",0,1,0,0,0,1,3,NA,NA,NA,NA,66,65,27,0,NA,NA,18,12,NA,2
"7731",0,1,0,0,1,1,2,NA,NA,NA,NA,64,64,26,1,NA,NA,17,12,NA,2
"7732",1,1,0,0,0,1,3,NA,NA,NA,NA,74,73,28,0,NA,NA,19,16,NA,1
"7733",1,0,0,1,0,0,5,0,0,1,0,68,69,NA,0,9.58333301544189,12,0,4,35,1
"7734",0,1,0,0,0,0,3,NA,NA,NA,NA,63,63,26,0,NA,NA,11,9,NA,2
"7735",0,1,0,0,1,1,2,NA,NA,NA,NA,64,NA,23,1,NA,NA,16,19,NA,2
"7736",0,1,0,0,0,0,1,NA,NA,NA,NA,63,64,27,1,NA,NA,12,12,NA,1
"7737",1,1,0,0,0,0,4,NA,NA,NA,NA,66,66,22,1,NA,NA,13,11,NA,1
"7738",0,1,0,0,0,1,4,NA,NA,NA,NA,67,67,28,1,NA,NA,17,13,NA,2
"7739",0,1,0,0,0,1,4,NA,NA,NA,NA,68,68,21,1,NA,NA,17,13,NA,3
"7740",0,1,0,0,0,0,4,NA,NA,NA,NA,66,66,20,1,NA,NA,17,13,NA,3
"7741",1,1,0,0,0,0,0,NA,NA,NA,NA,73,73,NA,0,NA,NA,12,12,NA,0
"7742",1,1,0,0,0,1,3,NA,NA,NA,NA,76,76,23,0,NA,NA,20,15,NA,0
"7743",1,1,0,0,1,0,1,NA,NA,NA,NA,69,69,27,1,NA,NA,18,13,NA,1
"7744",1,1,0,0,0,1,1,NA,NA,NA,NA,71,70,26,1,NA,NA,20,14,NA,2
"7745",0,1,0,0,0,1,1,NA,NA,NA,NA,65,65,28,1,NA,NA,12,12,NA,4
"7746",0,1,0,0,0,1,2,NA,NA,NA,NA,66,66,28,1,NA,NA,16,12,NA,3
"7747",0,1,0,0,1,1,2,NA,NA,NA,NA,66,66,27,1,NA,NA,16,15,NA,4
